10420,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,미국 AI R&D 전략 과제의 추진 성과 (2016-2019),,0,1574208000,0,https://www.whitehouse.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,,OSTP,48,보고서,인공지능(AI)\, AI 이니셔티브(American AI Initiative),<p><span style="font-family:휴먼명조">▸</span><span style="font-family:휴먼명조">미국 백악관 과학기술정책실</span>(OSTP)<span style="font-family:휴먼명조">이 최근 </span>3<span style="font-family:휴먼명조">년간 국가 최상위 </span>AI <span style="font-family:휴먼명조">정책의 과제와 성과를 정리한 중간 보고서를 발표</span></p>\
\
<p>- &rsquo;16<span style="font-family:휴먼명조">년 작성된 미국 최상위 </span>AI <span style="font-family:휴먼명조">전략인 미국 </span>AI <span style="font-family:휴먼명조">이니셔티브</span>(American AI Initiative)<span style="font-family:휴먼명조">는 과학기술 최상위 전략으로</span>\, AI <span style="font-family:휴먼명조">연구개발 </span>8<span style="font-family:휴먼명조">대 전략을 제시</span></p>\
\
<p>- AI <span style="font-family:휴먼명조">기술 </span>R&amp;D 8<span style="font-family:휴먼명조">대 전략에는 연방정부 각 부처인 </span>NSF(<span style="font-family:휴먼명조">국립과학재단</span>)\, <span style="font-family:휴먼명조">고등연구계획국</span>\, NASA(<span style="font-family:휴먼명조">항공우주국</span>)\, NIST(<span style="font-family:휴먼명조">국립표준기술연구소</span>) <span style="font-family:휴먼명조">등</span><span style="font-family:휴먼명조">이 참여</span></p>\
\
<p style="margin-left:12pt"><span style="font-size:6pt">&nbsp; </span></p>\
\
<p>&lt;<span style="font-family:한양중고딕">표</span>&gt; <span style="font-family:한양중고딕">미 </span>AI <span style="font-family:한양중고딕">연구개발 </span>8<span style="font-family:한양중고딕">대 전략의 주요 내용 및 성과</span></p>\
\
<table cellspacing="0" style="border-collapse:collapse; table-layout:fixed">\
	<tbody>\
		<tr>\
			<td style="background-color:#e5e5e5; border-color:#000000 #000000 #7f7f7f; height:14.65pt; width:125.16pt">\
			<p style="text-align:center"><span style="font-size:8pt">8</span><span style="font-size:8pt"><span style="font-family:맑은 고딕">대 전략</span></span></p>\
			</td>\
			<td style="background-color:#e5e5e5; border-color:#000000 #000000 #7f7f7f; height:14.65pt; width:157.38pt">\
			<p style="text-align:center"><span style="font-size:8pt"><span style="font-family:맑은 고딕">주요 내용</span></span></p>\
			</td>\
			<td style="background-color:#e5e5e5; border-color:#000000 #000000 #7f7f7f; height:14.65pt; width:171.5pt">\
			<p style="text-align:center"><span style="font-size:8pt"><span style="font-family:맑은 고딕">성과</span></span></p>\
			</td>\
		</tr>\
		<tr>\
			<td style="background-color:#e6eef7; border-color:#7f7f7f #000000; height:42.02pt; width:125.16pt">\
			<p style="text-align:center"><span style="font-size:8pt"><span style="font-family:맑은 고딕">①</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">장기적 관점에서 지속적 </span></span><span style="font-size:8pt">AI R&amp;D </span><span style="font-size:8pt"><span style="font-family:맑은 고딕">추진</span></span></p>\
			</td>\
			<td style="border-color:#7f7f7f #000000; height:42.02pt; vertical-align:middle; width:157.38pt">\
			<p><span style="font-size:8pt"><span style="font-family:맑은 고딕">머신러닝 이외에도 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">사고능력</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">의사결정 수행 지원</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">인간과 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">협력 시스템 원칙 알고리즘</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">로보틱스 및 웨어러블 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">등 분야에 지속적 투자</span></span></p>\
			</td>\
			<td style="border-color:#7f7f7f #000000; height:42.02pt; vertical-align:middle; width:171.5pt">\
			<p><span style="font-size:8pt"><span style="font-family:맑은 고딕">NSF &lsquo;AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">수치 계산법</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&rsquo;\, NASA &lsquo;AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">지구탐사</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&rsquo;\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">국립농식품연구소 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&lsquo;AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">기반 농산품 발전</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&rsquo;\, NIH &lsquo;AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">안구 노화 진단</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&rsquo;\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">국토안보부 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&lsquo;AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">응급상황 최초 신고</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&rsquo; </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">등</span></span></p>\
			</td>\
		</tr>\
		<tr>\
			<td style="background-color:#e6eef7; border-color:#7f7f7f #000000; height:31.62pt; width:125.16pt">\
			<p style="text-align:center"><span style="font-size:8pt"><span style="font-family:맑은 고딕">②</span></span><span style="font-size:8pt">AI</span><span style="font-size:8pt"><span style="font-family:맑은 고딕">와 인간의 효율적 협력 도모</span></span></p>\
			</td>\
			<td style="border-color:#7f7f7f #000000; height:31.62pt; vertical-align:middle; width:157.38pt">\
			<p><span style="font-size:8pt"><span style="font-family:맑은 고딕">인간 기계 상호인식</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">자율운행</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">신뢰도 높은 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">AI</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">사고</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">의사결정 지원</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">특수상황 고려</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">\, </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">위험요인 모델링 등 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">R&amp;D </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">투자</span></span></p>\
			</td>\
			<td style="border-color:#7f7f7f #000000; height:31.62pt; vertical-align:middle; width:171.5pt">\
			<p><span style="font-size:8pt"><span style="font-family:맑은 고딕">고등연구계획국 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&lsquo;</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">이해하기 쉬운 </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">AI </span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">사고</span></span><span style="font-size:8pt"><span style="font-family:맑은 고딕">&rsquo;</span></span></p>\
			</td>\
		</tr>\
		<tr>\
			<td style="background-color:#e6eef7; border-color:#7f7f7f #000000; height:42.02pt; width:125.16pt">\
			<p style="text-align:center"><span style="font-size:8pt"><span style="font-family:맑은 고딕">③</span></span><span style="font-size:8pt">AI </span><span style="font-size:8pt"><span style="font-family:맑은 고딕">기술의 윤리적 법적 사회적 함의 이해</span></span></p>\
			</td>\
			<td style="border-color:#7f7f7f #000000; height:42.02pt; vertical-align:middle; width:157.38pt">\
